"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"5","7/15/2021",29.91,32.93,0.482,0.000183,-0.000684,0.002367,-0.000035,31.64,0.09478,0.09336,0.2025,5.088,30.59,33.04,33.09,0.03886,0.000485,16.42,4.887,5.174,-0.001597,-0.000535,0.1918,5.11,0.9692,9.144,10.33,10.26,0.003267,0.08017,0.01279,0.02245,0.0288,-0.02825,0.004913,0.01603,-0.02325,4.708,4.955,"22-Jun-21","MFB","METHOD FORTIFIED BLANK",3,"30-Jun-21","7/15/2021","5",NA,"YES",NA,NA,NA
"6","7/15/2021",29.8,32.6,0.493,-0.000099,-0.001079,0.001295,-0.00007,31.73,0.0968,0.09411,0.2033,5.074,30.37,32.74,32.73,-0.001653,-0.000359,16.22,4.935,5.206,-0.001629,-0.01153,0.1952,5.314,0.9898,9.498,10.53,10.66,0.003103,0.08388,-0.002008,-0.0033,0.004678,-0.02861,0.002755,0.000238,-0.0241,4.781,5.014,"22-Jun-21","MFB","METHOD FORTIFIED BLANK",2,"30-Jun-21","7/15/2021","6",NA,"YES",NA,NA,NA
"S IPC","7/15/2021",0.073,0.087,0,0.1728,0.1908,0.02424,0.001393,0.1876,0.001197,0.001211,0.001329,0.003063,0.03386,0.03738,0.03776,0.04244,0.002537,0.01627,0.003743,0.005091,0.00216,0.1366,0.001391,0.01805,0.00282,20.73,20.85,21.08,0.002238,0.005741,0.3273,0.3083,0.3058,0.001679,0.002849,0.002945,0.001834,0.02509,0.03273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/15/2021",0.015,0.019,0.001,0.1089,0.1185,0.007782,0.000411,0.05185,0.000361,0.000437,0.000428,0.001071,0.01535,0.01666,0.01657,0.01639,0.000275,0.005704,0.001402,0.001419,0.00042,0.02778,0.000631,0.01115,0.001215,0.01541,0.01228,0.02431,0.001548,0.004101,0.01293,0.01115,0.009266,0.000193,0.000608,0.000875,0.000488,0.008284,0.009551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7/15/2021",0.235,0.445,-0.005,0.03829,0.05017,0.004538,0.000075,0.5272,0.000532,-0.000573,0.000427,0.008717,0.3532,0.5062,0.5052,0.4782,-0.000257,0.1846,0.02741,0.03909,0.001594,0.02247,0.000138,0.05772,0.001421,0.1121,0.1489,0.1165,0.005108,-0.003964,0.0267,0.03582,0.03501,0.000767,0.002388,0.01122,-0.004729,0.01323,0.02064,"7-Jul-21","BLANK","DIGEST BLANK",NA,"13-Jul-21","7/15/2021","14",NA,NA,NA,NA,NA
"15","7/15/2021",0.036,0.055,-0.006,0.02822,0.03444,0.002835,0.000032,0.0681,0.000377,-0.000631,0.000101,0.002493,0.05442,0.06676,0.06785,0.06968,-0.000796,0.02125,0.004213,0.004971,0.001448,0.005214,-0.000201,0.02253,0.000314,0.02578,0.0213,0.02169,0.003657,-0.006237,0.01293,0.01135,0.01111,0.000598,0.000308,0.001925,-0.003534,0.002503,0.003642,"7-Jul-21","BLANK","DIGEST BLANK",NA,"13-Jul-21","7/15/2021","15",NA,NA,NA,NA,NA
"16","7/15/2021",0.011,0.016,-0.005,0.02124,0.02575,0.000038,0.000027,0.0205,0.00036,-0.000909,0.000203,0.001628,0.01778,0.016,0.01789,0.01964,-0.000889,0.005093,0.001464,0.001196,0.001415,-0.00005,-0.000209,0.03189,0.000398,0.01125,-0.009875,0.006827,0.004146,-0.006933,0.009561,0.005082,0.006595,0.001514,0.000048,0.000799,-0.002886,0.001187,0.001581,"7-Jul-21","BLANK","DIGEST BLANK",NA,"13-Jul-21","7/15/2021","16",NA,NA,NA,NA,NA
"17","7/15/2021",NA,316.4,0.263,0.0708,0.06218,0.9256,0.02789,109.5,0.003877,0.146,0.4073,0.3966,181.2,326.8,345.5,21.85,0.4783,116.7,6.003,6.762,0.08647,6.654,0.3945,11.74,0.4822,3.48,3.18,5.774,-0.01032,-0.01812,9.426,10.63,10.92,-0.04103,1.206,11.85,-0.08113,1.701,1.885,"7-Jul-21","SRM","STSD2",NA,"13-Jul-21","7/15/2021","17",NA,NA,NA,NA,0.4954
"18","7/15/2021",NA,330.6,0.276,0.06719,0.05955,0.961,0.02888,113.4,0.003728,0.1507,0.4212,0.4071,184.1,337.1,356.7,22.4,0.4982,121,6.184,7.039,0.08809,6.903,0.4066,12.35,0.4987,3.635,3.422,5.968,-0.01108,-0.006688,9.84,11.25,11.45,-0.0397,1.254,12.09,-0.08739,1.767,1.951,"7-Jul-21","SRM","STSD2",NA,"13-Jul-21","7/15/2021","18",NA,NA,NA,NA,0.5132
"19","7/15/2021",NA,325.5,0.266,0.0625,0.05381,0.9478,0.02832,112.1,0.003653,0.1483,0.4159,0.4077,182.2,332.7,351.9,21.77,0.4793,120.2,6.106,6.843,0.08708,6.687,0.4001,11.95,0.4897,3.528,3.253,5.808,-0.01168,-0.02034,9.219,10.4,10.66,-0.03961,1.251,12.02,-0.07819,1.724,1.926,"7-Jul-21","SRM","STSD2",NA,"13-Jul-21","7/15/2021","19",NA,NA,NA,NA,0.5048
