"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"33","7/14/2021",70.64,76.49,0.111,35.14,37.44,40.56,0.002828,65.11,0.00663,0.03571,0.06891,1.015,43.61,46.95,49.95,42.32,0.04856,19.4,3.932,4.173,-0.001303,91.89,0.04695,3.923,0.1814,3.3,3.654,4.952,0.004657,-0.01841,14.29,15.5,15.64,-0.03265,0.7384,1.989,-0.0323,36.35,39.91,"22-Jun-21","BN","EPIP",4,"30-Jun-21","7/14/2021","33",NA,NA,NA,NA,0.1405
"34","7/14/2021",86.58,95.69,0.173,29.9,32.08,35.04,0.004333,84.13,0.01118,0.04361,0.08329,1.71,59.97,71.32,72.2,40.71,0.06791,26.8,6.174,6.725,-0.001425,81.9,0.06147,4.608,0.2856,5.069,5.543,7.235,0.003436,-0.01762,16.25,17.63,17.7,-0.03475,0.7495,2.589,-0.04725,31.71,35.81,"22-Jun-21","BN","EPIP",5,"30-Jun-21","7/14/2021","34",NA,NA,NA,NA,0.1838
"37","7/14/2021",17.17,18.67,0.044,0.1661,0.1891,0.3115,0.001617,22.62,0.004176,0.015,0.02308,0.4785,26.59,28.11,28.13,30.9,0.02243,9.889,2.395,2.386,0.002832,0.8503,0.0231,2.663,0.09686,14.89,17.68,16.19,0.003748,-0.01466,3.196,3.481,3.469,-0.02403,0.1056,1.06,-0.02253,1.162,1.165,"22-Jun-21","BN","FILA",1,"30-Jun-21","7/14/2021","37",NA,NA,NA,NA,0.1601
"38","7/14/2021",14.5,15.44,0.063,0.361,0.3984,0.417,0.00126,74.18,0.005357,0.01295,0.02005,0.5045,23.92,26.01,26.06,135.2,0.02042,13.07,3.165,3.276,0.007357,2.929,0.02078,7.22,0.09335,74.61,88.73,78.27,0.003343,-0.01226,3.985,4.317,4.317,-0.03347,0.2552,0.8731,-0.02336,1.154,1.169,"22-Jun-21","BN","FILA",2,"30-Jun-21","7/14/2021","38",NA,NA,NA,NA,0.2399
"39","7/14/2021",NA,208.5,0.516,0.1839,0.1924,3.416,0.01295,214.5,0.03299,0.1403,0.2088,5.339,157.1,261.8,275.5,65.36,0.2443,102.2,15.49,17.95,-0.00221,4.198,0.207,19.4,0.9217,25.65,30.19,31.32,-0.005947,-0.02115,5.383,5.969,6.053,-0.03874,0.9854,8.203,-0.1176,11.28,12.32,"22-Jun-21","BN","FILA",3,"30-Jun-21","7/14/2021","39",NA,NA,NA,NA,1.585
"40","7/14/2021",19.74,21.52,0.061,0.3141,0.3458,0.5217,0.001371,56.06,0.005552,0.01734,0.02637,0.5732,30.17,33.14,33.26,133,0.02712,15.34,3.264,3.369,0.00611,2.231,0.02602,7.876,0.1078,67.57,80.46,70.95,0.002733,-0.01816,4.325,4.782,4.794,-0.03212,0.2293,1.154,-0.02595,1.475,1.519,"22-Jun-21","BN","FILA",4,"30-Jun-21","7/14/2021","40",NA,NA,NA,NA,0.281
"41","7/14/2021",18.22,19.84,0.061,0.3339,0.3659,0.3931,0.001321,48.08,0.005265,0.01286,0.02274,0.5883,27.76,30.15,30.24,144.6,0.02314,15.01,2.89,2.973,0.006602,2.137,0.02178,6.821,0.1066,73.42,87.68,76.94,0.003508,-0.0141,4.566,5.028,5.015,-0.02983,0.2189,1.015,-0.02602,1.256,1.277,"22-Jun-21","BN","FILA",5,"30-Jun-21","7/14/2021","41",NA,NA,NA,NA,0.2294
"42","7/14/2021",31.11,31.25,0.09,0.225,0.2359,0.5129,0.001935,45.21,0.005992,0.02195,0.03588,0.8677,40.73,44.86,45.09,73.76,0.0366,15.89,3.576,3.643,0.01065,2.284,0.0341,5.122,0.1477,45.6,51.06,48.54,-0.00003,-0.008398,5.968,6.395,6.423,-0.03172,0.2036,1.657,-0.02867,1.563,1.552,"22-Jun-21","BG","FILA",1,"30-Jun-21","7/14/2021","42",NA,NA,NA,NA,1.0272
"43","7/14/2021",50.82,53.33,0.142,0.2183,0.2236,0.9161,0.003269,65.71,0.0103,0.03192,0.05595,1.582,57.93,67.43,68.19,60.2,0.05625,23.9,6.194,6.541,0.003525,2.182,0.05086,7.76,0.2687,35.66,39.66,38.76,-0.001089,-0.006654,8.495,8.913,8.906,-0.0337,0.2973,2.043,-0.04546,2.53,2.635,"22-Jun-21","BG","FILA",2,"30-Jun-21","7/14/2021","43",NA,NA,NA,NA,1.2395
"44","7/14/2021",38.22,39.52,0.104,0.1827,0.1907,0.7641,0.002333,51.08,0.007409,0.02443,0.04376,1.025,45.73,50.8,51.11,64.95,0.04511,18.7,4.207,4.314,0.002927,1.907,0.03757,6.098,0.1875,34.69,39.08,37.43,-0.000595,-0.01355,8.691,9.28,9.286,-0.0334,0.2267,1.997,-0.03683,1.872,1.871,"22-Jun-21","BG","FILA",3,"30-Jun-21","7/14/2021","44",NA,NA,NA,NA,1.023
"45","7/14/2021",17.69,18.32,0.056,0.2358,0.242,0.2931,0.00104,33.63,0.003981,0.01193,0.0194,0.5437,23.16,24.61,24.66,99.16,0.0202,10.59,2.527,2.584,0.004525,1.552,0.01822,4.912,0.09173,53.59,58.47,56.53,-0.000849,-0.008478,4.739,4.988,4.997,-0.02996,0.1618,0.9022,-0.02119,0.969,0.967,"22-Jun-21","BG","FILA",4,"30-Jun-21","7/14/2021","45",NA,NA,NA,NA,0.1489
"46","7/14/2021",21.75,22.38,0.053,0.1938,0.2023,0.4209,0.001355,44.1,0.003715,0.01504,0.03039,0.4513,33.22,36.18,36.35,86.58,0.02466,12.12,2.484,2.54,0.003235,1.673,0.02337,5.649,0.09363,45.6,51.43,48.63,0.000219,-0.01818,4.797,5.099,5.118,-0.03213,0.1867,1.222,-0.02155,1.033,1.042,"22-Jun-21","BG","FILA",5,"30-Jun-21","7/14/2021","46",NA,NA,NA,NA,0.2297
"7","7/15/2021",68.46,73.07,0.121,39.26,42.03,45.38,0.002883,56.59,0.007258,0.03529,0.06278,1.157,38.73,43.51,43.56,44.49,0.0438,16.6,4.415,4.778,-0.001533,100.1,0.0423,2.667,0.1842,3.635,3.809,4.861,0.006705,-0.005559,14.67,16.04,16.03,-0.03231,0.8343,1.6,-0.02715,39.35,44.6,"22-Jun-21","BG","EPIP",4,"30-Jun-21","7/15/2021","7",NA,NA,NA,NA,0.1033
"8","7/15/2021",45.87,48.35,0.054,34.06,37.21,40.86,0.001214,34.68,0.002544,0.0236,0.04534,0.4325,16.96,18.86,18.79,37.29,0.02032,8.204,1.684,1.839,-0.001336,89.22,0.02502,1.495,0.06759,1.508,1.594,2.244,0.005229,-0.01726,12.31,13.59,13.63,-0.02864,0.6733,0.7478,-0.009861,34.49,40.09,"22-Jun-21","BG","EPIP",5,"30-Jun-21","7/15/2021","8",NA,NA,NA,NA,0.0485
"9","7/15/2021",48.88,54.06,0.128,36.99,39.99,40.95,0.001515,388.1,0.0165,0.03087,0.05024,0.7451,21.72,24.58,24.64,42.07,0.0258,11.64,3.106,3.445,0.001228,98.66,0.04005,4.496,0.09539,8.042,8.722,15.2,0.007058,-0.008124,9.55,10.5,10.7,-0.04727,1.283,0.8291,-0.01822,35.08,40.99,"22-Jun-21","GC","EPIL",1,"30-Jun-21","7/15/2021","9","YES",NA,NA,NA,0.1166
"10","7/15/2021",58.33,63.29,0.093,37.42,40.91,41.52,0.001984,233.8,0.008561,0.02945,0.05983,0.8769,27.35,32.01,32.09,44.16,0.03415,14.4,2.633,2.977,-0.001655,99.38,0.03663,3.442,0.1295,5.289,5.753,9.691,0.005391,-0.009596,9.317,10.41,10.58,-0.04046,1.124,1.219,-0.01499,35.13,42.72,"22-Jun-21","BG","EPIL",1,"30-Jun-21","7/15/2021","10","YES",NA,NA,NA,0.1143
"13","7/15/2021",NA,290.1,0.648,0.6959,0.7599,3.683,0.01598,300.6,0.0451,0.1421,0.2673,7.039,170.9,306.7,323.2,285.3,0.2977,109.8,20.37,25.98,0.006992,8.482,0.2212,27,1.007,118.2,135.3,120.7,-0.007794,-0.006105,13.78,15.63,15.73,-0.04164,1.414,9.319,-0.1392,10.92,12.27,"22-Jun-21","BG","FILA",3,"30-Jun-21","7/15/2021","13","YES",NA,NA,NA,2.5794
"25","7/15/2021",52.06,58.15,0.092,30.27,33.76,36.86,0.00301,80.37,0.006635,0.03172,0.04926,0.9455,35.27,39.76,39.81,37.7,0.03907,15.6,5.59,6.133,-0.00096,80.93,0.03765,3.219,0.1663,3.916,4.483,5.552,0.006993,-0.01282,5.472,6.105,6.118,-0.03382,0.802,1.381,-0.03258,32.98,37.33,"7-Jul-21","BN","EPIP",1,"13-Jul-21","7/15/2021","25",NA,NA,NA,NA,0.1166
"26","7/15/2021",53.46,59.26,0.098,29.65,33.2,35.6,0.002917,94.09,0.00721,0.03307,0.05139,1.017,38.19,43.73,43.8,37.77,0.04196,17.17,7.115,7.935,-0.00145,79.43,0.04028,3.812,0.1791,4.344,4.905,6.222,0.007232,-0.01693,5.8,6.443,6.489,-0.03596,0.829,1.445,-0.04168,31.78,36.65,"7-Jul-21","BN","EPIP",2,"13-Jul-21","7/15/2021","26",NA,NA,NA,NA,0.0398
"27","7/15/2021",39.28,43.16,0.073,23.47,26.15,29.35,0.002146,68.19,0.005369,0.02611,0.04098,0.7893,29.49,32.65,32.7,30.63,0.03093,12.49,5.098,5.539,-0.000324,64.86,0.03229,2.754,0.1408,2.888,3.232,4.335,0.00447,-0.01117,5.308,5.893,5.925,-0.03436,0.5776,1.109,-0.03024,26,29.1,"7-Jul-21","BN","EPIP",3,"13-Jul-21","7/15/2021","27",NA,NA,NA,NA,0.1047
