PROJECT,DATE,SITE,SAMPLE,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE
LTREB,8/17/2021,GC,4,EPIL,8.038129446,28.16560558,22.26883382,29.32103717
LTREB,8/17/2021,GC,5,EPIL,7.955117491,30.81029631,20.05826053,34.09542522
LTREB,8/17/2021,GC,6,EPIL,8.73262383,14.85680158,26.41335182,20.09483463
LTREB,8/17/2021,GC,7,EPIL,9.513637717,27.34016276,32.40178749,40.90252667
LTREB,8/17/2021,BG,1,EPIL,26.30660546,177.2480617,19.65980315,28.82607383
LTREB,8/17/2021,BG,2,EPIL,9.470377966,-13.10068952,23.7232968,39.15418071
LTREB,8/17/2021,BG,3,EPIL,15.88334379,78.69474875,19.40655823,42.12744326
LTREB,8/17/2021,BG,4,EPIL,23.51342855,116.8714792,36.70320977,67.37811491
LTREB,8/17/2021,BG,6,EPIL,11.45798816,58.40066412,21.5831083,42.90728361
LTREB,8/17/2021,BG,7,EPIL,15.63898465,91.79017695,30.98473834,68.53032486
DRONE,9/9/2021,GC,1,EPIL,9.263432669,48.6941113,30.72705052,43.55111701
DRONE,9/9/2021,GC,2,EPIL,12.36761211,41.32124667,55.4337467,59.24726154
DRONE,9/9/2021,GC,3,EPIL,10.44313778,32.58979203,53.66512438,51.70046047
DRONE,9/9/2021,GC,4,EPIL,14.80535755,82.93946569,20.11613506,28.75786243
DRONE,9/9/2021,GC,5,EPIL,4.890690251,17.5295527,9.979206174,13.33204965
DRONE,9/9/2021,GC,6,EPIL,16.54627024,68.28727104,37.77160871,58.32293215
DRONE,9/9/2021,GC,7,EPIL,18.87762008,59.3757623,60.94082994,60.80668106
DRONE,9/9/2021,GC,8,EPIL,15.00528775,58.71634339,36.0561842,50.95378183
DRONE,9/9/2021,GC,9,EPIL,5.745362632,10.54368747,8.65592546,11.88926339
DRONE,9/9/2021,GC,10,EPIL,6.049934665,21.47495892,7.070572497,13.38992784
DRONE,9/9/2021,GC,11,EPIL,15.74654944,51.8146593,54.65542193,58.67105483
DRONE,9/9/2021,GC,12,EPIL,17.28519356,68.35508363,38.93751746,56.73671572
DRONE,9/9/2021,GC,13,EPIL,0.869871754,3.311124741,0.318695756,2.642918161
DRONE,9/9/2021,GC,14,EPIL,5.555955073,16.66786522,14.15996883,21.20032386
DRONE,9/9/2021,GC,15,EPIL,3.953005914,11.9817819,5.909866605,11.90824003
DRONE,9/9/2021,GC,16,EPIL,19.53002389,65.07201927,57.38628141,54.2169786
DRONE,9/9/2021,GC,17,EPIL,4.793648106,14.04538895,14.37135702,17.95904119
DRONE,9/9/2021,GC,18,EPIL,6.134700393,21.44046804,16.66283773,18.81944456
DRONE,9/9/2021,GC,19,EPIL,4.072262525,11.98002813,6.894435159,13.54866034
DRONE,9/9/2021,GC,20,EPIL,6.629264576,18.05685399,14.62226358,18.0309102
LTREB,9/22/2021,DL,1,EPIL,17.78326529,98.17625158,22.10807123,44.16375127
LTREB,9/22/2021,DL,2,EPIL,12.88672913,71.4171725,19.3416686,45.76662818
LTREB,9/22/2021,DL,3,EPIL,5.479958213,72.6974273,16.67616641,19.45919839
LTREB,9/22/2021,DL,4,EPIL,15.62729283,77.99265468,22.28567004,69.13382952
LTREB,9/22/2021,DL,5,EPIL,7.922380382,27.111003,16.14313613,33.48279142
LTREB,9/22/2021,GR,1,EPIL,14.56801351,69.48451389,43.04111408,54.10165573
LTREB,9/22/2021,GR,2,EPIL,23.4304166,75.90332562,51.14004101,70.53610816
LTREB,9/22/2021,GR,3,EPIL,26.30485169,162.2907104,39.50375253,106.626272
LTREB,9/22/2021,GR,4,EPIL,5.714963888,12.85866875,2.062554786,18.8683822
LTREB,9/22/2021,GR,5,EPIL,10.42560004,43.90864747,26.34086251,42.39686495
LTREB,9/22/2021,BG,1,EPIL,22.26240331,122.5782588,9.232917007,29.23688554
LTREB,9/22/2021,BG,2,EPIL,39.80657079,231.5226809,41.71415044,96.89274454
LTREB,9/22/2021,BG,3,EPIL,28.28486219,197.3311089,29.96427588,100.6945263
LTREB,9/22/2021,BG,4,EPIL,14.21725877,185.535227,17.16546928,63.459561
LTREB,9/22/2021,BG,5,EPIL,25.28824753,228.1472511,24.59948214,84.13948101
LTREB,9/22/2021,BN,1,EPIL,50.51803594,72.17597192,21.02517443,42.13779136
LTREB,9/22/2021,BN,2,EPIL,95.01945892,39.97201011,23.33501131,75.65474952
