,PROJECT,DATE,SITE,SAMPLE,SUBSTRATE,AVERAGE.DEPTH,EPIL.OM.AREA.g.m2,EPIL.ASH.AREA.g.m2,EPIL.CHL.TOTAL.MG.M2.RITCHIE,PHICOCYANIN.MG.M2
80,LTREB,8/17/2021,BG,7,EPIL,24.765,15.63898465,91.79017695,68.53032486,30.98473834
81,DRONE,9/9/2021,GC,1,EPIL,18.75,9.263432669,48.6941113,43.55111701,30.72705052
82,DRONE,9/9/2021,GC,2,EPIL,30,12.36761211,41.32124667,59.24726154,55.4337467
83,DRONE,9/9/2021,GC,3,EPIL,34.5,10.44313778,32.58979203,51.70046047,53.66512438
84,DRONE,9/9/2021,GC,4,EPIL,41.75,14.80535755,82.93946569,28.75786243,20.11613506
85,DRONE,9/9/2021,GC,5,EPIL,47.75,4.890690251,17.5295527,13.33204965,9.979206174
86,DRONE,9/9/2021,GC,6,EPIL,20.5,16.54627024,68.28727104,58.32293215,37.77160871
87,DRONE,9/9/2021,GC,7,EPIL,31.25,18.87762008,59.3757623,60.80668106,60.94082994
88,DRONE,9/9/2021,GC,8,EPIL,34.875,15.00528775,58.71634339,50.95378183,36.0561842
89,DRONE,9/9/2021,GC,9,EPIL,37.75,5.745362632,10.54368747,11.88926339,8.65592546
90,DRONE,9/9/2021,GC,10,EPIL,45,6.049934665,21.47495892,13.38992784,7.070572497
91,DRONE,9/9/2021,GC,11,EPIL,22,15.74654944,51.8146593,58.67105483,54.65542193
92,DRONE,9/9/2021,GC,12,EPIL,31.375,17.28519356,68.35508363,56.73671572,38.93751746
93,DRONE,9/9/2021,GC,13,EPIL,35.75,0.869871754,3.311124741,2.642918161,0.318695756
94,DRONE,9/9/2021,GC,14,EPIL,35.75,5.555955073,16.66786522,21.20032386,14.15996883
95,DRONE,9/9/2021,GC,15,EPIL,42.75,3.953005914,11.9817819,11.90824003,5.909866605
96,DRONE,9/9/2021,GC,16,EPIL,23.875,19.53002389,65.07201927,54.2169786,57.38628141
97,DRONE,9/9/2021,GC,17,EPIL,31.75,4.793648106,14.04538895,17.95904119,14.37135702
98,DRONE,9/9/2021,GC,18,EPIL,33.75,6.134700393,21.44046804,18.81944456,16.66283773
99,DRONE,9/9/2021,GC,19,EPIL,44.375,4.072262525,11.98002813,13.54866034,6.894435159
100,DRONE,9/9/2021,GC,20,EPIL,36.25,6.629264576,18.05685399,18.0309102,14.62226358
495,DRONE,9/9/2021,GC,12.1,EPIL,NA,NA,NA,NA,NA
300,LTREB,9/22/2021,DL,1,EPIL,16,17.78326529,98.17625158,44.16375127,22.10807123
301,LTREB,9/22/2021,DL,2,EPIL,13.875,12.88672913,71.4171725,45.76662818,19.3416686
302,LTREB,9/22/2021,DL,3,EPIL,24.25,5.479958213,72.6974273,19.45919839,16.67616641
303,LTREB,9/22/2021,DL,4,EPIL,27.375,15.62729283,77.99265468,69.13382952,22.28567004
304,LTREB,9/22/2021,DL,5,EPIL,22,7.922380382,27.111003,33.48279142,16.14313613
305,LTREB,9/22/2021,GR,1,EPIL,29.5,14.56801351,69.48451389,54.10165573,43.04111408
306,LTREB,9/22/2021,GR,2,EPIL,31.5,23.4304166,75.90332562,70.53610816,51.14004101
307,LTREB,9/22/2021,GR,3,EPIL,35.375,26.30485169,162.2907104,106.626272,39.50375253
308,LTREB,9/22/2021,GR,4,EPIL,21.25,5.714963888,12.85866875,18.8683822,2.062554786
309,LTREB,9/22/2021,GR,5,EPIL,11.75,10.42560004,43.90864747,42.39686495,26.34086251
310,LTREB,9/22/2021,BG,1,EPIL,8.75,22.26240331,122.5782588,29.23688554,9.232917007
311,LTREB,9/22/2021,BG,2,EPIL,12.5,39.80657079,231.5226809,96.89274454,41.71415044
312,LTREB,9/22/2021,BG,3,EPIL,26.5,28.28486219,197.3311089,100.6945263,29.96427588
313,LTREB,9/22/2021,BG,4,EPIL,29.25,14.21725877,185.535227,63.459561,17.16546928
314,LTREB,9/22/2021,BG,5,EPIL,29,25.28824753,228.1472511,84.13948101,24.59948214
315,LTREB,9/22/2021,BN,1,EPIL,33.25,50.51803594,72.17597192,42.13779136,21.02517443
316,LTREB,9/22/2021,BN,2,EPIL,34.5,95.01945892,39.97201011,75.65474952,23.33501131
317,LTREB,9/22/2021,BN,3,EPIL,34,25.11754689,188.1097668,39.80242826,18.80735221
318,LTREB,9/22/2021,BN,4,EPIL,29.25,23.59994805,158.5762177,93.64613591,34.90477331
319,LTREB,9/22/2021,BN,5,EPIL,30.25,18.31407413,103.7626054,57.33052684,31.22138087
497,LTREB,9/22/2021,NA,2,EPIL,NA,NA,NA,NA,NA
320,LTREB,10/13/2021,DL,1,EPIL,18.5,13.05392222,57.97975843,29.23905893,21.04224449
321,LTREB,10/13/2021,DL,2,EPIL,16,10.46885979,54.46402676,29.41106761,16.23538463
322,LTREB,10/13/2021,DL,3,EPIL,12.5,8.835511887,49.0004371,12.63536306,12.67838081
323,LTREB,10/13/2021,DL,4,EPIL,21,11.88590894,81.88953984,19.07079063,13.51574929
324,LTREB,10/13/2021,DL,5,EPIL,17.75,11.01019127,92.85764054,31.15483992,13.29769676
325,LTREB,10/13/2021,GR,1,EPIL,30.25,31.03477935,166.8470145,87.56734674,59.71248685
326,LTREB,10/13/2021,GR,2,EPIL,33.5,37.93412507,190.9228198,133.2768395,95.3140929
327,LTREB,10/13/2021,GR,3,EPIL,36.5,36.7123294,204.0807992,89.03865217,29.39324717
328,LTREB,10/13/2021,GR,4,EPIL,34.5,13.46079772,68.08383329,42.69271022,25.87389103
329,LTREB,10/13/2021,GR,5,EPIL,27.25,10.55070256,60.87231585,75.31746531,24.07580532
330,LTREB,10/13/2021,GC,1,EPIL,18.75,25.58989661,109.4986146,70.34833361,27.53050566
331,LTREB,10/13/2021,GC,2,EPIL,32.25,28.88465279,113.3288563,56.97233803,28.88991412
332,LTREB,10/13/2021,GC,3,EPIL,45,6.419980915,24.46748144,4.48483131,7.014276362
333,LTREB,10/13/2021,GC,4,EPIL,37,1.419621349,6.052389948,4.671546666,3.416818835
334,LTREB,10/13/2021,GC,5,EPIL,58,25.25434124,84.88264695,72.42824198,26.81870738
335,LTREB,10/13/2021,BN,1,EPIL,29.75,25.41218087,178.4172441,39.87935591,25.93597462
336,LTREB,10/13/2021,BN,2,EPIL,35.25,2.82240647,26.62602611,4.722074649,2.187563775
337,LTREB,10/13/2021,BN,3,EPIL,38.5,10.51679627,68.543322,84.89661038,25.64134064
338,LTREB,10/13/2021,BN,4,EPIL,36,32.51496435,174.7810867,85.72542571,38.23402038
339,LTREB,10/13/2021,BN,5,EPIL,40,32.3582939,163.2833463,55.58283687,37.53356316
26,LTREB,6/22/2021,WS,1,EPIP,25.25,NA,NA,NA,27.18115394
27,LTREB,6/22/2021,WS,3,EPIP,29.25,NA,NA,NA,23.02237192
28,LTREB,6/22/2021,GC,1,EPIP,13.875,NA,NA,NA,30.75324021
29,LTREB,6/22/2021,BG,1,EPIP,14.25,NA,NA,NA,13.32429567
30,LTREB,6/22/2021,BG,2,EPIP,11.1875,NA,NA,NA,16.80641334
31,LTREB,6/22/2021,BG,3,EPIP,15.25,NA,NA,NA,28.89283707
32,LTREB,6/22/2021,BG,4,EPIP,17.0625,1.199581209,8.397068463,1.445260491,7.528365891
33,LTREB,6/22/2021,BN,1,EPIP,15,7.099275927,71.26284042,4.866447159,26.8470016
34,LTREB,6/22/2021,BN,5,EPIP,12.6875,3.633819101,32.05547564,2.739832549,26.60369472
254,LTREB,6/22/2021,WS,2,EPIP,32.75,NA,NA,NA,10.0601136
255,LTREB,6/22/2021,WS,4,EPIP,32.625,NA,NA,NA,12.49739137
