Sample ID,Date,Time,Remarks,Run,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Ni 231.604,P 178.221,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,Zn 206.200,Zn_r 206.200
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Cal Blank,12/7/2021,0:48:41, ,1,0,0.003,-0.003,-0.001,-0.001,0,0,-0.003,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.007,0,-0.01,0.001,0.002,0.007,-0.009,-0.001,-0.004,0.001,0.003,0,0,0,0,0,0,0
34,12/7/2021,3:06:58, ,55,53.78,66.71,0.161,0.492,0.602,1.181,-0.711,734.4,0.012,0.038,0.091,1.451,73.06,99.14,100.8,83.19,0.113,38.98,16.49,20.05,0.016,4.413,0.05,14.04,0.265,57.37,58.65,71.32,-0.002,0.018,5.014,5.912,5.84,0.043,1.132,3.176,-0.029,2.562,2.952
35,12/7/2021,3:09:23, ,56, ,391.2,0.376,-0.531,-0.297,1.111,-0.067,139.6,0.006,0.128,0.458,0.5,175.2,364.9,396.8,26.9,0.579,137.3,7.292,8.422,0.11,8.846,0.416,12.45,0.513,5.968,6.249,7.589,-0.049,-0.129,8.181,9.496,9.453,0.032,1.403,14.35,-0.012,1.854,2.124
36,12/7/2021,3:12:07, ,57,56.6,71.93,0.127,0.19,0.27,1.344,-0.994,1017,0.013,0.057,0.118,1.741,96.07,142.7,146.9,42.05,0.136,49.43,16.7,20.95,0.019,4.425,0.121,13.17,0.424,33.69,34.44,41.16,0.007,0.009,4.405,5.18,5.129,0.059,1.776,1.108,-0.036,2.926,3.298
37,12/7/2021,3:14:27, ,58,4.438,5.183,0.081,0.284,0.331,0.16,-0.042,43.28,0.002,0.002,0.005,0.232,6.979,7.581,7.565,92.48,0.01,5.138,2.228,2.398,0.005,3.256,-0.007,6.468,0.007,50.6,50.93,61.08,0.002,0.004,3.08,3.471,3.427,-0.001,0.125,0.212,-0.006,0.335,0.361
38,12/7/2021,3:16:59, ,59,6.923,8.042,-0.008,0.041,0.052,0.249,-0.321,327.9,0.002,0.004,0.007,0.309,8.28,9.218,9.134,9.552,0.019,9.785,2.418,2.665,0.006,2.034,0.011,5.282,0.027,12.89,13.35,15.57,0.003,0.009,3.273,3.759,3.744,0.016,0.547,0.359,-0.009,0.296,0.326
39,12/7/2021,3:19:34, ,60,2.235,2.574,-0.008,0.025,0.035,0.167,-0.252,256.3,0.002,0.002,0.001,0.276,2.804,3.056,2.991,5.121,0.011,5.864,1.493,1.592,0.004,1.412,0.008,2.41,0.012,13.79,14.06,16.35,0.003,0.003,2.428,2.795,2.774,0.012,0.371,0.099,-0.008,0.217,0.24
40,12/7/2021,3:22:05, ,61,35.63,44.39,-0.044,34.58,40.3,38.59,-0.644,656.6,0.003,0.04,0.024,0.477,10.61,12.12,11.94,37.38,0.039,10.2,6.466,7.456,0.006,89.75,0.012,2.808,0.062,8.486,9.004,10.17,0.008,0.005,5.589,6.293,6.414,0.032,1.532,0.463,-0.019,30.66,36.81
40 dup,12/7/2021,3:24:40, ,62,35.83,45.15,-0.05,34.71,40.94,38.54,-0.648,660.8,0.003,0.04,0.024,0.47,10.53,12.16,11.96,38.2,0.041,10.34,6.43,7.493,0.007,88.83,0.012,2.755,0.06,8.182,8.922,10.12,0.007,0.003,5.584,6.523,6.541,0.034,1.524,0.464,-0.02,30.21,36.48
4 spike,12/7/2021,3:27:15, ,63,31.53,36.92,0.541,0.473,0.546,0.38,-0.26,265,0.076,0.081,0.17,5.213,34.66,40.01,40.23,124.6,0.02,24.1,11.02,12.65,0.01,4.222,0.146,14.28,0.764,86.84,88.33,105,0.003,0.097,3.576,4.085,4.034,0.011,0.391,0.424,-0.019,4.477,4.937
Lblank,12/7/2021,3:29:32, ,64,0.051,0.058,0,0.078,0.081,0.017,-0.001,0.466,0,0.001,0,0.004,0.046,0.052,0.053,0.197,0,0.029,0.013,0.015,0,0.069,0,0.005,0.001,0.082,0.085,0.114,-0.002,0,0.008,0.01,0.009,0,0.001,0.001,-0.001,0.021,0.024
CV,12/7/2021,3:32:06, ,65,1.976,2.027,2.043,2.092,2.124,2.075,2.066,2.102,1.797,2.024,1.921,2.029,2.044,2.035,2.02,2.34,2.082,1.951,2.042,2.057,2.119,2.483,2.017,1.999,2.023,0.107,0.061,0.141,2.092,2.022,8.656,8.909,8.934,1.873,1.716,2.053,1.943,1.983,1.977
